紅葡萄柚|美國|120|2|data/images/smallPic/big-1.jpg|蔬果|多汁|20|20
黃葡萄柚|美國|120|1|data/images/smallPic/big-2.jpg|蔬果|多汁|20|20
白花椰菜|澳洲|50|2|data/images/smallPic/img-1.jpg|蔬果|健康|20|3
草莓|大湖|100|3|data/images/smallPic/img-2.jpg|蔬果|健康|20|3
紅蘿蔔|澳洲|50|1|data/images/smallPic/img-4.jpg|蔬果|健康|50|50
香蕉|澳洲|20|2|data/images/smallPic/img-5.jpg|蔬果|健康|50|50
奇異果|紐西蘭|80|1|data/images/smallPic/img-6.jpg|蔬果|健康|50|50
柑橘|台灣|23|3|data/images/smallPic/img-7.jpg|蔬果|多汁|50|50
茄子|台灣|15|2|data/images/smallPic/img-8.jpg|蔬果|多汁|50|50
綠花椰菜|台灣|45|3|data/images/smallPic/img-12.jpg|蔬果|多汁|50|50
洋蔥|印度|8|3|data/images/smallPic/img-13.jpg|蔬果|多汁|50|50
青椒|美國|8|2|data/images/smallPic/img-14.jpg|蔬果|多汁|50|50
山竹|中國|25|1|data/images/smallPic/山竹.jpg|蔬果|多汁|50|50
熟成番茄|澳洲|1200|1|data/images/smallPic/tomatoes.jpg|蔬果|番茄|50|50
深紅番茄|澳洲|600|1|data/images/smallPic/tomatoes2.jpg|蔬果|番茄|50|50
小番茄|澳洲|120|2|data/images/smallPic/tomatoes3.jpg|蔬果|番茄|50|50
星番茄|澳洲|770|3|data/images/smallPic/tomatoes4.jpg|蔬果|番茄|50|50
羅馬番茄|澳洲|500|2|data/images/smallPic/tomatoes5.jpg|蔬果|番茄|50|50
桃番茄|澳洲|150|3|data/images/smallPic/tomatoes6.jpg|蔬果|番茄|50|50
迷你番茄|澳洲|120|1|data/images/smallPic/tomatoes7.jpg|蔬果|番茄|50|50
皇家蘋果|美國|300|3|data/images/smallPic/apple1.jpg|蔬果|蘋果|50|50
富士蘋果|日本|300|2|data/images/smallPic/apple2.jpg|蔬果|蘋果|50|50
鮮紅蘋果|日本|250|1|data/images/smallPic/apple3.jpg|蔬果|蘋果|50|50
青蘋果|美國|200|2|data/images/smallPic/apple4.jpg|蔬果|蘋果|50|50
黃金蘋果|美國|220|2|data/images/smallPic/apple5.jpg|蔬果|蘋果|50|50
柳丁|美國|100|1|data/images/smallPic/orange.jpg|蔬果|柳丁|50|50
黃金柳丁|美國|120|2|data/images/smallPic/orange2.jpg|蔬果|柳丁|50|50
新鮮柳丁|美國|150|3|data/images/smallPic/orange3.jpg|蔬果|柳丁|50|50
新鮮柳丁汁|美國|150|1|data/images/smallPic/orangejuice1.jpg|蔬果|柳丁|50|50
托比卡那柳丁汁|美國|110|1|data/images/smallPic/orangejuice2.jpg|蔬果|柳丁|50|50
高分柳丁汁|美國|200|1|data/images/smallPic/orangejuice3.jpg|蔬果|柳丁|50|50
大罐柳丁汁|美國|400|2|data/images/smallPic/orangejuice4.jpg|蔬果|柳丁|50|50
中量高分柳丁汁|美國|250|2|data/images/smallPic/orangejuice5.jpg|蔬果|柳丁|50|50
BURST柳丁汁|美國|330|2|data/images/smallPic/orangejuice6.jpg|蔬果|柳丁|50|50
迷你柳丁汁|美國|80|2|data/images/smallPic/orangejuice7.jpg|蔬果|柳丁|50|50
百分百柳丁汁|美國|150|3|data/images/smallPic/orangejuice8.jpg|蔬果|柳丁|50|50
泰國極品香蕉|泰國|230|2|data/images/smallPic/banana1.jpg|蔬果|香蕉|50|50
泰國上等香蕉|泰國|180|1|data/images/smallPic/banana2.jpg|蔬果|香蕉|50|50
泰國普通香蕉|泰國|150|3|data/images/smallPic/banana3.jpg|蔬果|香蕉|50|50
天然蔬果營養素|洛農|350|1|data/images/smallPic/天然蔬果營養素.jpg|書籍|料理|50|50
手做麵包聖經|蘇耶華|320|1|data/images/smallPic/手做麵包聖經.jpg|書籍|料理|50|50
好吃好種的健康蔬果|馬克思|339|2|data/images/smallPic/好吃好種的健康蔬果.jpg|書籍|料理|50|50
咖啡烘豆科學|村上|280|2|data/images/smallPic/咖啡烘豆科學.jpg|書籍|料理|50|50
果香甜點|陳河|350|2|data/images/smallPic/果香甜點.jpg|書籍|料理|50|50
增肌減脂雞胸肉料理|夜無風|350|2|data/images/smallPic/增肌減脂雞胸肉料理.jpg|書籍|料理|50|50
瘦身料理|花無葉|400|2|data/images/smallPic/瘦身料理.jpg|書籍|料理|50|50
蔬果營養全書|徐樹|349|3|data/images/smallPic/蔬果營養全書.jpg|書籍|料理|50|50
蔬食共和國|呂光|400|2|data/images/smallPic/蔬食共和國.jpg|書籍|料理|50|50
蔬食烘焙|李耀堂|419|2|data/images/smallPic/蔬食烘焙.jpg|書籍|料理|50|50
